Cospeciation Duplication Switch Sorting
17.0 0.0 15.0 1.0
11.0 0.0 10.0 3.0
17.5 2.25 12.25 6.0
17.0 3.0 12.0 4.0
16.0 0.5 14.5 2.0
16.0 0.5 13.5 4.0
14.27 0.44 14.28 4.55
18.0 1.0 18.0 1.0
15.5 0.5 13.0 4.0
16.0 0.25 11.75 3.0
15.0 1.0 13.0 2.0
11.33 0.0 10.67 3.67
16.0 0.85 14.15 2.0
15.0 0.0 14.0 1.0
18.0 0.8 16.2 3.0
15.0 0.0 10.0 5.0
11.0 0.5 12.5 2.0
21.0 0.0 12.0 0.0
17.0 0.17 13.83 3.0
18.0 1.5 15.5 5.0
16.0 0.33 15.67 3.0
19.0 1.0 16.0 5.0
14.0 0.0 12.0 3.0
17.0 0.33 15.67 2.0
17.0 0.0 14.0 2.0
22.0 2.0 11.0 3.0
19.0 0.0 11.0 3.0
19.0 0.83 14.17 4.0
16.0 0.5 11.5 5.0
16.0 0.0 15.0 1.0
16.0 0.0 12.0 4.0
15.33 0.2 14.47 4.67
15.0 0.0 11.0 5.0
13.46 0.1 15.44 2.92
16.43 0.14 14.43 3.86
17.0 0.5 16.5 0.0
14.08 0.0 8.92 4.17
16.0 0.0 15.0 3.0
19.0 2.0 13.0 6.0
18.0 1.0 15.0 2.0
13.469999999999999 0.0 14.530000000000001 2.94
14.0 0.0 13.0 2.0
18.0 3.1633333333333336 10.836666666666666 3.0
13.0 0.5 12.5 3.0
11.0 0.0 12.0 1.0
16.08 0.14 15.78 5.15
17.57 0.11 14.32 5.14
