Cospeciation Duplication Switch Sorting
-26.00 -3.00 29.00 -4.00
-18.00 -2.00 20.00 -3.00
-25.00 -2.00 27.00 -1.00
-19.00 -4.00 23.00 -3.00
-24.00 -3.00 27.00 -8.00
-25.00 -4.00 29.00 -4.00
-17.00 -4.00 21.00 -3.00
-23.00 -3.00 26.00 -5.00
-21.00 -4.00 25.00 -5.00
-21.00 -4.00 25.00 -3.00
-19.00 -3.00 22.00 -6.00
-21.00 -1.00 22.00 -6.00
-27.00 -4.00 31.00 -1.00
-22.00 -2.00 24.00 -4.00
-26.00 -2.00 28.00 -3.00
-23.00 -2.00 25.00 -6.00
-23.00 -2.00 25.00 -3.00
-23.00 -5.00 28.00 -3.00
-26.00 0.00 26.00 -5.00
-26.00 -2.00 28.00 -5.00
-23.00 -8.00 -30.00 -2.00
-26.00 -2.00 -26.00 -2.00
-20.00 -8.00 -34.00 -5.00
-25.00 -6.00 -24.00 -4.00
-23.00 -6.00 -24.00 -1.00
-22.00 -4.00 -19.00 -4.00
-26.00 -2.00 -23.00 -3.00
-25.00 -6.00 -31.00 -4.00
-24.00 -1.00 -29.00 -5.00
-22.00 -4.00 -23.00 -6.00
-25.00 -6.00 -26.00 -3.00
-22.00 -6.00 -20.00 -3.00
-19.00 -4.00 -22.00 -4.00
-25.00 -4.00 -29.00 -2.00
-21.00 -6.00 -22.00 -3.00
-27.00 -4.00 -32.00 -4.00
-20.00 -7.00 -33.00 -5.00
-21.00 -6.00 -28.00 -5.00
-24.00 -6.00 -28.00 -3.00
-19.00 -8.00 -25.00 -6.00
