Cospeciation Duplication Switch Sorting
-15.00 0.00 15.00 -4.00
-10.00 0.00 10.00 -2.00
-16.00 0.00 16.00 -5.00
-16.00 0.00 16.00 -6.00
-15.00 0.00 15.00 -5.00
-15.00 0.00 15.00 -4.00
-15.00 0.00 15.00 -4.00
-15.00 0.00 15.00 -4.00
-13.00 0.00 13.00 -2.00
-16.00 0.00 16.00 -2.00
-14.00 0.00 14.00 -3.00
-14.00 0.00 14.00 -5.00
-13.00 0.00 13.00 -3.00
-18.00 0.00 18.00 -7.00
-10.00 0.00 10.00 -3.00
-18.00 0.00 18.00 -6.00
-15.00 0.00 15.00 -5.00
-14.00 0.00 14.00 -5.00
-18.00 0.00 18.00 -5.00
-12.00 0.00 12.00 -3.00
-11.00 0.00 11.00 -2.00
-17.00 0.00 17.00 -5.00
-16.00 0.00 16.00 -5.00
-18.00 0.00 18.00 -6.00
-15.00 0.00 15.00 -4.00
-17.00 0.00 17.00 -5.00
-16.00 0.00 16.00 -4.00
-15.00 0.00 15.00 -4.00
-13.00 0.00 13.00 -4.00
-16.00 0.00 16.00 -4.00
-15.00 0.00 15.00 -4.00
-17.00 0.00 17.00 -3.00
-15.00 0.00 15.00 -4.00
-15.00 0.00 15.00 -5.00
-17.00 0.00 17.00 -5.00
-14.00 0.00 14.00 -4.00
-15.00 0.00 15.00 -6.00
-13.00 0.00 13.00 -4.00
-15.00 0.00 15.00 -4.00
-16.00 0.00 16.00 -2.00
-13.00 0.00 13.00 -5.00
-13.00 0.00 13.00 -2.00
-14.00 0.00 14.00 -2.00
-15.00 0.00 15.00 -3.00
-11.00 0.00 11.00 -3.00
-15.00 0.00 15.00 -3.00
-17.00 0.00 17.00 -5.00
-15.00 0.00 15.00 -4.00
-18.00 0.00 18.00 -5.00
-18.00 0.00 18.00 -6.00
-14.00 0.00 14.00 -5.00
-14.00 0.00 14.00 -5.00
-15.00 0.00 15.00 -5.00
-13.00 0.00 13.00 -3.00
-15.00 0.00 15.00 -3.00
-13.00 0.00 13.00 -3.00
-12.00 0.00 12.00 -2.00
-10.00 0.00 10.00 -2.00
-16.00 0.00 16.00 -5.00
-16.00 0.00 16.00 -6.00
