Cospeciation Duplication Switch Sorting
32.0 3.0 51.0 4.0
19.0 5.0 50.0 0.0
27.0 4.0 57.0 2.0
21.0 3.0 53.0 1.0
27.0 9.0 56.0 3.0
24.0 5.0 57.0 1.0
16.0 10.0 54.0 0.0
23.0 6.0 60.0 2.0
24.0 3.0 52.0 0.0
24.0 8.0 55.0 2.0
23.0 7.0 50.0 0.0
20.0 2.0 57.0 1.0
32.0 7.0 54.0 1.0
25.0 6.0 49.0 3.0
27.0 4.0 53.0 1.0
23.0 8.0 58.0 1.0
26.0 8.0 49.0 0.0
27.0 8.0 56.0 1.0
25.0 4.0 53.0 1.0
25.0 5.0 55.0 2.0
23.0 9.0 53.0 2.0
29.0 4.0 54.0 0.0
24.0 6.0 63.0 0.0
29.0 9.0 52.0 2.0
24.0 6.0 55.0 0.0
21.0 6.0 54.0 0.0
28.0 2.0 54.0 0.0
31.0 6.0 55.0 1.0
25.0 3.0 52.0 3.0
20.0 9.0 53.0 0.0
25.0 10.0 53.0 2.0
23.0 6.0 54.0 1.0
21.0 5.0 49.0 2.0
25.0 9.0 53.0 0.0
21.0 6.0 56.0 0.0
29.0 7.0 55.0 1.0
24.0 9.0 58.0 1.0
26.0 5.0 52.0 0.0
23.0 6.0 59.0 0.0
23.0 7.0 58.0 2.0
