Cospeciation Duplication Switch Sorting
0.0 0.0 59.0 0.0
0.0 0.0 58.0 0.0
0.0 1.0 63.0 0.0
0.0 0.0 60.0 0.0
0.0 0.0 64.0 0.0
0.0 0.0 60.0 0.0
0.0 0.0 64.0 0.0
0.0 0.0 63.0 0.0
0.0 0.0 68.0 0.0
0.0 0.0 52.0 0.0
0.0 0.0 66.0 0.0
0.0 0.0 62.0 0.0
0.0 1.0 66.0 0.0
0.0 0.0 62.0 0.0
0.0 0.0 66.0 0.0
0.0 0.0 62.0 0.0
0.0 0.0 62.0 0.0
0.0 0.0 61.0 0.0
0.0 0.0 66.0 0.0
0.0 0.0 57.0 0.0
0.0 0.0 65.0 0.0
0.0 0.0 59.0 0.0
0.0 0.0 60.0 0.0
0.0 0.0 64.0 0.0
0.0 1.0 51.0 0.0
0.0 0.0 62.0 0.0
0.0 0.0 64.0 0.0
0.0 0.0 77.0 0.0
0.0 0.0 64.0 0.0
0.0 0.0 65.0 0.0
0.0 0.0 58.0 0.0
0.0 0.0 60.0 0.0
0.0 0.0 69.0 0.0
0.0 0.0 61.0 0.0
0.0 0.0 68.0 0.0
0.0 0.0 57.0 0.0
0.0 0.0 61.0 0.0
0.0 0.0 62.0 0.0
0.0 0.0 63.0 0.0
0.0 1.0 58.0 0.0
