Cospeciation Duplication Switch Sorting
0.0 0.0 86.0 0.0
0.0 2.0 72.0 0.0
0.0 3.0 85.0 0.0
0.0 0.0 77.0 0.0
0.0 2.0 90.0 0.0
0.0 1.0 85.0 0.0
0.0 1.0 79.0 0.0
0.0 2.0 87.0 0.0
0.0 1.0 78.0 0.0
0.0 3.0 84.0 0.0
0.0 2.0 78.0 0.0
0.0 2.0 77.0 0.0
0.0 3.0 90.0 0.0
0.0 1.0 79.0 0.0
0.0 1.0 83.0 0.0
0.0 1.0 88.0 0.0
0.0 1.0 82.0 0.0
0.0 4.0 87.0 0.0
0.0 1.0 81.0 0.0
0.0 1.0 84.0 0.0
0.0 3.0 82.0 0.0
0.0 0.0 87.0 0.0
0.0 4.0 89.0 0.0
0.0 4.0 86.0 0.0
0.0 1.0 84.0 0.0
0.0 1.0 80.0 0.0
0.0 0.0 84.0 0.0
0.0 0.0 92.0 0.0
0.0 1.0 79.0 0.0
0.0 2.0 80.0 0.0
0.0 3.0 85.0 0.0
0.0 3.0 80.0 0.0
0.0 1.0 74.0 0.0
0.0 0.0 87.0 0.0
0.0 0.0 83.0 0.0
0.0 2.0 89.0 0.0
0.0 4.0 87.0 0.0
0.0 1.0 82.0 0.0
0.0 1.0 87.0 0.0
0.0 2.0 86.0 0.0
