Cospeciation Duplication Switch Sorting
-30.0 0.0 30.0 -9.0
-30.0 0.0 30.0 -11.0
-29.0 0.0 29.0 -8.0
-31.0 0.0 31.0 -10.0
-33.0 0.0 33.0 -10.0
-31.0 0.0 31.0 -9.0
-32.0 0.0 32.0 -9.0
-30.0 -1.0 31.0 -10.0
-30.0 -1.0 31.0 -6.0
-25.0 0.0 25.0 -6.0
-31.0 -1.0 32.0 -7.0
-27.0 0.0 27.0 -4.0
-33.0 0.0 33.0 -11.0
-32.0 -1.0 33.0 -10.0
-29.0 -1.0 30.0 -6.0
-30.0 0.0 30.0 -7.0
-30.0 0.0 30.0 -5.0
-30.0 0.0 30.0 -8.0
-34.0 -1.0 35.0 -10.0
-28.0 0.0 28.0 -8.0
-33.0 -1.0 34.0 -12.0
-30.0 0.0 30.0 -11.0
-30.0 0.0 30.0 -9.0
-32.0 0.0 32.0 -11.0
-25.0 0.0 25.0 -5.0
-30.0 0.0 30.0 -11.0
-32.0 0.0 32.0 -10.0
-37.0 0.0 37.0 -12.0
-30.0 0.0 30.0 -6.0
-32.0 0.0 32.0 -7.0
-29.0 0.0 29.0 -8.0
-31.0 0.0 31.0 -12.0
-35.0 0.0 35.0 -13.0
-30.0 0.0 30.0 -12.0
-35.0 -1.0 36.0 -10.0
-28.0 0.0 28.0 -7.0
-28.0 -1.0 29.0 -4.0
-32.0 0.0 32.0 -11.0
-29.0 0.0 29.0 -9.0
-30.0 0.0 30.0 -11.0
