Cospeciation Duplication Switch Sorting
-26.0 -3.0 29.0 -4.0
-18.0 -2.0 20.0 -3.0
-25.0 -2.0 27.0 -1.0
-19.0 -4.0 23.0 -3.0
-24.0 -3.0 27.0 -8.0
-25.0 -4.0 29.0 -4.0
-17.0 -4.0 21.0 -3.0
-23.0 -3.0 26.0 -5.0
-21.0 -4.0 25.0 -5.0
-21.0 -4.0 25.0 -3.0
-19.0 -3.0 22.0 -6.0
-21.0 -1.0 22.0 -6.0
-27.0 -4.0 31.0 -1.0
-22.0 -2.0 24.0 -4.0
-26.0 -2.0 28.0 -3.0
-23.0 -2.0 25.0 -6.0
-23.0 -2.0 25.0 -3.0
-23.0 -5.0 28.0 -3.0
-26.0 0.0 26.0 -5.0
-26.0 -2.0 28.0 -5.0
-23.0 -5.0 28.0 -2.0
-26.0 -2.0 28.0 -2.0
-20.0 -4.0 24.0 -5.0
-25.0 -2.0 27.0 -4.0
-23.0 -5.0 28.0 -1.0
-22.0 -3.0 25.0 -4.0
-26.0 -2.0 28.0 -3.0
-25.0 -6.0 31.0 -4.0
-24.0 0.0 24.0 -5.0
-22.0 -2.0 24.0 -6.0
-25.0 -3.0 28.0 -3.0
-22.0 -3.0 25.0 -3.0
-19.0 -3.0 22.0 -4.0
-25.0 -4.0 29.0 -2.0
-21.0 -6.0 27.0 -3.0
-27.0 -2.0 29.0 -4.0
-20.0 -3.0 23.0 -5.0
-21.0 -5.0 26.0 -5.0
-24.0 -5.0 29.0 -3.0
-19.0 -6.0 25.0 -6.0
