Cospeciation Duplication Switch Sorting
4.0 7.0 -11.0 32.0
-2.0 5.0 -3.0 20.0
-8.0 6.0 2.0 28.0
-5.0 8.0 -3.0 16.0
-11.0 10.0 1.0 24.0
-2.0 11.0 -9.0 25.0
0.0 2.0 -2.0 26.0
-4.0 11.0 -7.0 63.0
-2.0 7.0 -5.0 34.0
0.0 3.0 -3.0 27.0
-1.0 6.0 -5.0 7.0
-4.0 6.0 -2.0 21.0
2.0 7.0 -9.0 48.0
-3.0 10.0 -7.0 59.0
-8.0 7.0 1.0 14.0
-4.0 9.0 -5.0 5.0
0.0 1.0 -1.0 27.0
-9.0 6.0 3.0 35.0
-9.0 11.0 -2.0 32.0
-6.0 3.0 3.0 23.0
-13.0 4.0 9.0 33.0
-6.0 7.0 -1.0 23.0
-5.0 10.0 -5.0 30.0
-9.0 11.0 -2.0 20.0
-5.0 0.0 5.0 16.0
-6.0 5.0 1.0 7.0
0.0 5.0 -5.0 18.0
-6.0 19.0 -13.0 100.0
-10.0 4.0 6.0 20.0
-7.0 5.0 2.0 17.0
1.0 6.0 -7.0 48.0
-5.0 7.0 -2.0 13.0
-6.0 5.0 1.0 16.0
0.0 2.0 -2.0 28.0
-1.0 1.0 0.0 9.0
-5.0 13.0 -8.0 33.0
-6.0 12.0 -6.0 43.0
8.0 7.0 -15.0 26.0
-7.0 8.0 -1.0 16.0
-3.0 4.0 -1.0 42.0
