Cospeciation Duplication Switch Sorting
-6.0 1.0 5.0 4.0
-1.0 1.0 0.0 1.0
-1.0 6.0 -5.0 13.0
0.0 6.0 -6.0 3.0
-2.0 1.0 1.0 2.0
-1.0 4.0 -3.0 5.0
-2.0 6.0 -4.0 14.0
-5.0 0.0 5.0 2.0
-2.0 7.0 -5.0 14.0
-2.0 18.0 -16.0 68.0
1.0 1.0 -2.0 3.0
-3.0 3.0 0.0 -1.0
-1.0 3.0 -2.0 3.0
1.0 15.0 -16.0 44.0
0.0 1.0 -1.0 5.0
-1.0 6.0 -5.0 13.0
2.0 11.0 -13.0 37.0
-1.0 2.0 -1.0 3.0
-1.0 13.0 -12.0 44.0
0.0 0.0 0.0 4.0
-2.0 2.0 0.0 2.0
-1.0 4.0 -3.0 9.0
0.0 6.0 -6.0 7.0
-6.0 5.0 1.0 14.0
-4.0 3.0 1.0 4.0
-6.0 4.0 2.0 7.0
-5.0 2.0 3.0 7.0
-1.0 0.0 1.0 1.0
0.0 0.0 0.0 0.0
-1.0 3.0 -2.0 2.0
-2.0 0.0 2.0 -1.0
2.0 9.0 -11.0 29.0
1.0 2.0 -3.0 4.0
-2.0 1.0 1.0 2.0
2.0 15.0 -17.0 54.0
2.0 5.0 -7.0 18.0
-1.0 1.0 0.0 -1.0
1.0 2.0 -3.0 6.0
-1.0 0.0 1.0 8.0
-4.0 4.0 0.0 10.0
-5.0 0.0 5.0 0.0
-1.0 1.0 0.0 10.0
-1.0 2.0 -1.0 5.0
-4.0 6.0 -2.0 12.0
2.0 0.0 -2.0 0.0
-2.0 2.0 0.0 3.0
0.0 14.0 -14.0 41.0
0.0 3.0 -3.0 0.0
4.0 15.0 -19.0 33.0
2.0 8.0 -10.0 18.0
0.0 0.0 0.0 -1.0
-1.0 4.0 -3.0 4.0
-7.0 2.0 5.0 4.0
-4.0 2.0 2.0 0.0
0.0 2.0 -2.0 4.0
-1.0 0.0 1.0 2.0
-3.0 0.0 3.0 16.0
1.0 0.0 -1.0 -1.0
-3.0 2.0 1.0 11.0
0.0 3.0 -3.0 4.0
