Cospeciation Duplication Switch Sorting
25.0 8.0 26.0 29.0
29.0 5.0 24.0 21.0
26.0 4.0 34.0 11.0
20.0 6.0 34.0 26.0
30.0 5.0 29.0 18.0
26.0 0.0 34.0 11.0
24.0 9.0 31.0 25.0
26.0 7.0 30.0 26.0
24.0 7.0 37.0 17.0
24.0 2.0 26.0 10.0
20.0 5.0 41.0 25.0
20.0 6.0 36.0 17.0
25.0 2.0 40.0 17.0
29.0 2.0 31.0 20.0
22.0 4.0 40.0 17.0
26.0 2.0 34.0 10.0
25.0 4.0 33.0 30.0
32.0 7.0 22.0 32.0
20.0 7.0 39.0 30.0
27.0 1.0 29.0 13.0
21.0 9.0 35.0 33.0
27.0 3.0 29.0 24.0
25.0 2.0 33.0 24.0
27.0 3.0 34.0 12.0
21.0 3.0 28.0 10.0
23.0 16.0 23.0 76.0
26.0 5.0 33.0 17.0
22.0 7.0 48.0 38.0
23.0 3.0 38.0 16.0
30.0 3.0 32.0 22.0
28.0 3.0 27.0 12.0
33.0 4.0 23.0 12.0
29.0 11.0 29.0 52.0
26.0 1.0 34.0 24.0
24.0 9.0 35.0 23.0
22.0 5.0 30.0 25.0
18.0 0.0 43.0 17.0
23.0 1.0 38.0 12.0
20.0 2.0 41.0 14.0
25.0 2.0 32.0 15.0
