Cospeciation Duplication Switch Sorting
30.0 10.0 46.0 36.0
16.0 9.0 49.0 23.0
17.0 11.0 60.0 29.0
14.0 12.0 51.0 19.0
13.0 15.0 64.0 32.0
23.0 16.0 47.0 29.0
17.0 7.0 56.0 29.0
19.0 16.0 54.0 68.0
19.0 12.0 48.0 39.0
21.0 10.0 56.0 30.0
18.0 11.0 51.0 13.0
17.0 9.0 53.0 27.0
29.0 14.0 50.0 49.0
19.0 13.0 48.0 63.0
18.0 10.0 56.0 17.0
19.0 12.0 58.0 11.0
23.0 4.0 56.0 30.0
14.0 15.0 62.0 38.0
17.0 12.0 53.0 37.0
20.0 6.0 59.0 28.0
10.0 12.0 63.0 35.0
20.0 9.0 58.0 25.0
15.0 18.0 60.0 35.0
16.0 17.0 57.0 24.0
18.0 6.0 61.0 17.0
16.0 9.0 56.0 11.0
26.0 7.0 51.0 21.0
19.0 25.0 48.0 104.0
14.0 5.0 61.0 25.0
15.0 9.0 58.0 23.0
26.0 12.0 50.0 51.0
17.0 13.0 53.0 16.0
13.0 9.0 53.0 20.0
25.0 6.0 56.0 30.0
20.0 7.0 56.0 12.0
22.0 17.0 52.0 37.0
14.0 19.0 58.0 48.0
29.0 13.0 41.0 31.0
17.0 14.0 57.0 19.0
16.0 12.0 60.0 48.0
